sku,product,strength,category,patient_price
3129,5-Amino 1MQ Capsules,30 Capsules · 25mg,Anti-Aging,77.00
3130,5-Amino 1MQ Capsules,30 Capsules · 50mg,Anti-Aging,160.00
3131,5-Amino 1MQ Capsules,30 Capsules · 100mg,Anti-Aging,300.00
3789,5-Amino 1MQ Iodide Sublingual Rapid Dissolve Tablets,30 Sublingual Rapid Dissolve Tablets · 50mg,Anti-Aging,196.00
3132,5-Amino 1MQ Iodide Troches,30 Troches · 50mg,Anti-Aging,190.00
2882,Anti-Aging Cream: DHEA/Aloe Vera/GHK-CU,30g · 0.5%/0.2%/0.1%,Anti-Aging,118.00
3524,Anti-Aging Cream: DMAE /Estriol /GHK-Cu/Sodium Hyaluronate,30GM Pump · 3%/0.3%/0.5%/0.5%,Anti-Aging,136.00
3525,Anti-Aging Cream: DMAE /Estriol /GHK-Cu/Sodium Hyaluronate,15Gm Pump · 3%/0.3%/0.5%/0.5%,Anti-Aging,90.00
3526,Anti-Aging Cream: DMAE /Estriol /GHK-Cu/Sodium Hyaluronate,60GM Pump · 3%/0.3%/0.5%/0.5%,Anti-Aging,340.00
2881,Anti-Aging Cream: Estriol/Sodium Hyaluronate/Ascorbic Acid/Aloe Vera,30g · 0.3%/0.5%/1%/0.5%,Anti-Aging,72.00
2880,Anti-Aging Cream: Estriol/Tretinoin/Alpha Lipoic Acid/Hyaluronic Acid/Vitamin C,30g · 0.3%/0.01%/0.45%/0.05%/0.5%,Anti-Aging,83.00
3877,Anti-Aging Cream: GHK-CU /Aloe Vera / Sodium Hyaluronate Topical Cream,"30GM Pump · 0.1%,0.2%,0.5%",Anti-Aging,76.00
3737,GHK-CU Acetate Sublingual Tablet Triturate,30 Sublingual Triturates · 0.2mg,Anti-Aging,67.00
3771,GHK-CU Acetate Sublingual Tablet Triturate,90 Sublingual Tablet Triturates · 0.2mg,Anti-Aging,144.00
3772,"GHK-CU Acetate, Biotin Sublingual Tablet Triturates",90 Sublingual Tablet Triturates · 0.2mg/1mg,Anti-Aging,140.00
3773,"GHK-CU Acetate, Biotin Sublingual Tablet Triturates",30 Sublingual Tablet Triturates · 0.2mg/1mg,Anti-Aging,67.00
3774,"GHK-CU Acetate, Pyridoxine Oral Sublingual Troches",30 Sublingual Troches · 0.2mg/10mg,Anti-Aging,67.00
3775,"GHK-CU Acetate, Pyridoxine Oral Sublingual Troches",90 Sublingual Troches · 0.2mg/10mg,Anti-Aging,150.00
3104,Methylene Blue Capsules,30 Capsules · 15mg,Anti-Aging,65.00
3105,Methylene Blue Capsules,30 Capsules · 45mg,Anti-Aging,145.00
3538,Methylene Blue Capsules,30 Capsules · 25mg,Anti-Aging,90.00
3640,NAD (nicotinamide adenine dinucleotide) Injectable Solution,20mL (10 vials with 2ml in each vial) · 50mg/ml,Anti-Aging,300.00
3115,NAD+ (nicotinamide adenine dinucleotide),5mL Vial · 1mg/mL,Anti-Aging,48.00
3116,NAD+ (nicotinamide adenine dinucleotide),10mL (Vial #1: 5mL) (Vial #2: 5mL) · 1mg/mL,Anti-Aging,70.00
3117,NAD+ (nicotinamide adenine dinucleotide),15mL (Vial #1: 5mL) (Vial #2: 5mL) (Vial #3: 5mL) · 1mg/mL,Anti-Aging,156.00
3118,NAD+ (nicotinamide adenine dinucleotide),20mL (Vial #1: 5mL) (Vial #2: 5mL) (Vial #3: 5mL) (Vial #4: 5mL) · 1mg/mL,Anti-Aging,182.00
3119,NAD+ (nicotinamide adenine dinucleotide),10mL Vial · 100mg/mL,Anti-Aging,95.00
3120,NAD+ (nicotinamide adenine dinucleotide),20mL (Vial #1: 10mL) (Vial #2: 10mL) · 100mg/mL,Anti-Aging,262.00
3503,NAD+ (nicotinamide adenine dinucleotide),10mL Vial · 50mg/mL,Anti-Aging,90.00
3560,NAD+ (nicotinamide adenine dinucleotide),10mL (#10 vials with 1ml in each vial) · 200mg/mL,Anti-Aging,400.00
3122,NAD+ (nicotinamide adenine dinucleotide) Acid Resistant Capsules,30 Capsules · 100mg,Anti-Aging,137.00
3123,NAD+ (nicotinamide adenine dinucleotide) Acid Resistant Capsules,30 Capsules · 150mg,Anti-Aging,175.00
3677,NAD+ (nicotinamide adenine dinucleotide) Injectable Solution,30ml MDV · 50mg/ml,Anti-Aging,130.00
3639,NAD+ (nicotinamide adenine dinucleotide) Injection Solution,10ml (5 vials with 2ml per vial) · 50mg/ml,Anti-Aging,170.00
