BoomRx Formulary — Illinois
Confidential — Hello Gorgeous
Generated July 7, 2026
Vince Deker · vince@boomrx.com
Product Name 	Category 	Form 	Strength / Size 	Unit Price
Semaglutide 2mg/mL SL Sol (30 Ampules) 	Weight Loss 	Sol 	2mg per ampule 	$90.00
Semaglutide 3mg/mL SL Sol (30 Ampules) 	Weight Loss 	Sol 	3mg per ampule 	$100.00
Semaglutide 4mg/mL SL Sol (30 Ampules) 	Weight Loss 	Sol 	4mg per ampule 	$110.00
Sildenafil-Tadalafil-Vardenafil (30 Ampules) 	Sexual Health 	Emulsion 	25mg-5.0mg-7.5mg per ampule 	$75.00
Sildenafil-Tadalafil-Vardenafil (30 Ampules) 	Sexual Health 	Emulsion 	75mg-5mg-20mg per ampule 	$75.00
Sildenafil-Tadalafil-Vardenafil (30 Ampules) 	Sexual Health 	Emulsion 	50mg-5mg-10mg per ampule 	$75.00
Tirzepatide 12mg/mL SL Sol (30 Ampules) 	Weight Loss 	Sol 	12mg per ampule 	$225.00
Tirzepatide 15 mg/mL SL Sol (30 Ampules) 	Weight Loss 	Sol 	15mg per ampule 	$275.00
Tirzepatide 4mg/mL SL Sol (30 Ampules) 	Weight Loss 	Sol 	4mg per ampule 	$125.00
Tirzepatide 6mg/mL SL Sol (30 Ampules) 	Weight Loss 	Sol 	6mg per ampule 	$150.00
Tirzepatide 9mg/mL SL Sol (30 Ampules) 	Weight Loss 	Sol 	9mg per ampule 	$200.00
7-Keto DHEA SR 	HRT 	Capsule 	10 mg 	$1.60
Amour Thyroid 	HRT 	Tablet 	60 mg 	$2.90
Amour Thyroid 	HRT 	Tablet 	30 mg 	$2.50
Anastrozole 	HRT 	Tablet 	1 mg 	$1.00
Anastrozole SR 	HRT 	Capsule 	0.1mg 	$0.80
Anastrozole SR 	HRT 	Capsule 	0.125mg 	$0.80
Anastrozole SR 	HRT 	Capsule 	0.25mg 	$1.00
Anastrozole SR 	HRT 	Capsule 	0.4mg 	$1.00
Anastrozole SR 	HRT 	Capsule 	0.5mg 	$1.00
Anastrozole SR 	HRT 	Capsule 	0.75mg 	$1.00
Anastrozole SR 	HRT 	Capsule 	1.1mg 	$1.20
Ascorbic Acid / Hydrocortisone / Hydroquinone / Kojic Acid / Tretinoin / Vitamin E 	Cosmetic Anti-Aging 	Cream 	1/0.05/6/3/0.05%; 30mL Tube 	$75.00
Bacteriostatic Water 	Weight Loss 	Each (Solution) 	30mL 	$10.00
BIEST (20:80) 	HRT 	ODT 	0.1 MG 	$1.20
BIEST (20:80) 	HRT 	ODT 	0.05 MG 	$1.20
BIEST (20:80) (TOPI-CLICK) 	HRT 	Cream 	1.25 MG/ML; 30mL Tube 	$30.00
BIEST (20:80) (TOPI-CLICK) 	HRT 	Cream 	0.4 MG/ML; 30mL Tube 	$30.00
BIEST (20:80) (TOPI-CLICK) 	HRT 	Cream 	0.2 MG/ML; 30mL Tube 	$30.00
BIEST (20:80) (TOPI-CLICK) 	HRT 	Cream 	0.625 MG/ML; 30mL Tube 	$30.00
BIEST (20:80) (TOPI-CLICK) 	HRT 	Cream 	2 MG/ML; 30mL Tube 	$30.00
BIEST (20:80) (TOPI-CLICK) 	HRT 	Cream 	2.5 MG/ML; 30mL Tube 	$30.00
BIEST (20:80) (TOPI-CLICK) 	HRT 	Cream 	1 MG/ML; 30mL Tube 	$30.00
BIEST (20:80) (VERSABASE) (TOPI-CLICK) 	HRT 	Cream 	3 MG/ML; 30mL Tube 	$30.00
BIEST (20:80) IR 	HRT 	Capsule 	1.5 MG 	$1.20
BIEST (50:50) 	HRT 	ODT 	0.1 MG 	$1.20
BIEST (50:50) 	HRT 	ODT 	0.05 MG 	$1.20
BIEST (50:50) 	HRT 	ODT 	0.2 MG 	$1.20
BIEST (50:50) 	HRT 	ODT 	0.4 MG 	$1.20
BIEST (50:50) 	HRT 	ODT 	0.5 MG 	$1.20
BIEST (50:50) 	HRT 	ODT 	1 MG 	$1.20
BIEST (50:50) - CREME DE MENTHE 	HRT 	Troche 	0.1 MG 	$1.20
BIEST (50:50) (TOPI-CLICK) 	HRT 	Cream 	1.5 MG/ML; 30mL Tube 	$30.00
BIEST (50:50) (TOPI-CLICK) 	HRT 	Cream 	8mg/mL; 30mL 	$30.00
BIEST (50:50) (TOPI-CLICK) 	HRT 	Cream 	3 MG/ML; 30mL Tube 	$30.00
BIEST (50:50) (TOPI-CLICK) 	HRT 	Cream 	2.75 MG/ML; 30mL Tube 	$30.00
BIEST (50:50) (TOPI-CLICK) 	HRT 	Cream 	2 MG/ML; 30mL Tube 	$30.00
BIEST (50:50) (TOPI-CLICK) 	HRT 	Cream 	1.25 MG/ML; 30mL Tube 	$30.00
BIEST (50:50) (TOPI-CLICK) 	HRT 	Cream 	1 MG/ML; 30mL Tube 	$30.00
BIEST (50:50) (TOPI-CLICK) 	HRT 	Cream 	0.75 MG/ML; 30mL Tube 	$30.00
BIEST (50:50) IR 	HRT 	Capsule 	1 MG 	$1.00
BIEST (50:50) IR 	HRT 	Capsule 	2 MG 	$1.20
BIEST 50/50/Progesterone SR 	HRT 	Capsule 	1.8mg/200mg 	$1.20
Biotin/Minoxidil 	Hair Loss 	Capsule 	5mg/3mg 	$2.00
Biotin/Minoxidil 	Hair Loss 	Capsule 	5mg/1.25mg 	$2.00
ViOS
BPC-157 ACETATE 	Peptide 	Capsule 	500mcg 	$2.00
Cabergoline (commercial) 	HRT 	Tablet 	0.5mg (8 count bottle) 	$300.00
Caffeine / Finasteride / Latanoprost / Minoxidil / Tretinoin 	Hair Loss 	Solution 	0.1/0.1/0.01/5/0.01%; 30mL Tube 	$120.00
ViOS
CJC-1295 / Ipamorelin 	Peptide - Injection 	injectable 	1 mg / 1 mg/mL; 5 mL (5 mg / 5 mg Vial) 	$150.00
Climax Cream (ARGIN/ERGOLOID/PENTOX/SILD/THEOPH) 	Sexual Health 	Cream 	9/0.075/7.5/1.5/4.5mg/0.21mL; 30mL Tube 	$80.00
Clindamycin / Erythromycin / Ketoconazole 	Cosmetic Anti-Aging 	Cream 	2/4/2%; 30mL Tube 	$90.00
Clindamycin / Erythromycin / Ketoconazole / Tretinoin 	Cosmetic Anti-Aging 	Cream 	2/4/2/0.015%; 30mL Tube 	$100.00
Clomiphene CITRATE 	HRT 	Capsule 	51mg 	$1.50
Clomiphene CITRATE 	HRT 	Capsule 	25mg 	$1.25
COQ-10 	Wellness 	Capsule 	100mg 	$2.00

-- 1 of 7 --

Cyanocobalamin (B12) - Commercial 	Wellness 	Injectable 	1,000 mcg/mL; 30 mL (30,000 mcg Vial) 	$48.00
DHEA SR 	HRT 	Capsule 	5mg 	$1.10
DHEA SR 	HRT 	Capsule 	50mg 	$1.10
DHEA SR 	HRT 	Capsule 	25mg 	$1.10
DHEA SR 	HRT 	Capsule 	10mg 	$1.10
DHEA/Pregnenolone 	HRT 	Capsule 	10mg/50mg 	$1.10
DHEA/Pregnenolone 	HRT 	Capsule 	25mg/25mg 	$1.10
